EmployeeId,Age,DailyRate,DistanceFromHome,Education,EmployeeCount,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,BusinessTravel_Non-Travel,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Human Resources,Department_Research & Development,Department_Sales,EducationField_Human Resources,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Female,Gender_Male,JobRole_Healthcare Representative,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,Over18_Y,OverTime_No,OverTime_Yes,Attrition
1,38,1444,1,4,1,4,88,3,1,2,2991,5224,0,11,3,2,80,1,7,2,3,6,2,1,2,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,0.0
2,37,1141,11,2,1,1,61,1,2,2,4777,14382,5,15,3,1,80,0,15,2,1,1,0,0,0,False,False,True,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False,1.0
3,51,1323,4,4,1,1,34,3,1,3,2461,10332,9,12,3,3,80,3,18,2,4,10,0,2,7,False,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,1.0
4,42,555,26,3,1,3,77,3,4,2,13525,14864,5,14,3,4,80,1,23,2,4,20,4,4,8,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True,False,0.0
5,40,1194,2,4,1,3,98,3,1,3,2001,12549,2,14,3,2,80,3,20,2,3,5,3,0,2,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,0.0
6,29,352,6,1,1,4,87,2,1,2,2804,15434,1,11,3,4,80,0,1,3,3,1,0,0,0,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,True,True,False,0.0
7,40,1124,1,2,1,2,57,1,2,4,7457,13273,2,22,4,3,80,3,6,2,2,4,3,0,2,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,0.0
8,55,725,2,3,1,4,78,3,5,1,19859,21199,5,13,3,4,80,1,24,2,3,5,2,1,4,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,1.0
9,36,635,18,1,1,2,73,3,1,4,2153,7703,1,13,3,1,80,0,8,2,3,8,1,1,7,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,False,0.0
10,32,1018,3,2,1,3,39,3,3,4,11159,19373,3,15,3,4,80,0,10,6,3,7,7,7,7,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,False,0.0
11,25,583,4,1,1,3,87,2,2,1,4256,18154,1,12,3,1,80,0,5,1,4,5,2,0,3,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,True,False,0.0
12,20,129,4,3,1,1,84,3,1,1,2973,13008,1,19,3,2,80,0,1,2,3,1,0,0,0,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True,True,False,1.0
13,47,571,14,3,1,3,78,3,2,3,4591,24200,3,17,3,3,80,1,11,4,2,5,4,1,2,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,0.0
14,42,810,23,5,1,1,44,3,4,4,15992,15901,2,14,3,2,80,0,16,2,3,1,0,0,0,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,False,0.0
15,31,616,12,3,1,4,41,3,2,4,5855,17369,0,11,3,3,80,2,10,2,1,9,7,8,5,False,False,True,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,0.0
16,38,573,6,3,1,2,79,1,2,4,5329,15717,7,12,3,4,80,3,17,3,3,13,11,1,9,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,0.0
17,39,408,2,4,1,4,80,2,2,3,4553,20978,1,11,3,1,80,0,20,4,3,20,7,11,10,False,False,True,False,True,False,False,False,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False,0.0
18,54,821,5,2,1,1,86,3,5,1,19406,8509,4,11,3,3,80,1,24,4,2,4,2,1,2,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,True,False,0.0
19,25,772,2,1,1,4,77,4,2,3,5206,4973,1,17,3,3,80,2,7,6,3,7,7,0,7,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,True,False,0.0
